#{"t_start": 1779171662.9293005, "env_id": "None"}
r,l,t
222.291852,105,76.068391
222.779684,105,76.135393
222.69351,104,76.201902
222.196328,104,76.268506
222.533814,105,76.335506
223.365829,107,76.404013
222.044966,103,76.467522
222.407698,104,76.531614
223.13802,106,77.249553
223.013439,106,77.315554
223.621295,108,77.383065
223.294377,106,77.450103
222.957284,106,77.51665
222.649882,105,77.582635
223.158866,106,77.650146
222.284366,104,77.715144
223.95671,109,77.782653
222.890156,105,78.498827
223.098708,106,78.566845
222.590533,104,78.63385
222.958169,105,78.700899
222.923296,106,78.765409
223.047758,106,78.832426
222.033496,103,78.89734
222.395457,103,78.9619
223.385747,106,79.028409
223.151413,106,79.095915
222.722276,105,79.817719
222.342919,103,79.884307
222.574658,104,79.949817
222.966234,105,80.016817
223.319272,107,80.084328
222.97855,105,80.151834
222.735704,104,80.217342
223.208862,106,80.283357
222.680912,104,80.348868
222.870038,105,80.413867
222.270712,104,81.130524
222.507054,104,81.195536
222.275153,103,81.261049
221.698013,102,81.324047
222.041538,103,81.387555
222.911995,105,81.455064
223.074211,106,81.521064
223.125558,106,81.587578
222.422258,104,81.654739
222.763772,105,81.72174
223.010094,105,82.438444
222.749338,105,82.504952
222.596007,104,82.569105
221.642085,103,82.632107
222.371287,104,82.698613
222.936684,106,82.766124
222.152753,103,82.832126
222.709307,105,82.89785
222.135559,103,82.963552
221.82436,102,83.027567
222.581469,105,83.743706
222.014748,103,83.808213
222.235934,104,83.872814
222.306914,103,83.937815
222.422992,104,84.003322
221.943259,102,84.067833
221.938353,103,84.132833
222.031502,103,84.197342
222.202793,103,84.26194
221.882569,103,84.975945
222.692787,105,85.042946
222.35612,104,85.108453
222.158586,103,85.173962
222.230063,103,85.238965
222.370633,103,85.30447
222.507336,104,85.37064
222.319479,104,85.436706
222.005316,103,85.500718
222.387,104,85.567233
222.498183,105,86.286574
222.077026,103,86.351085
221.846793,105,86.419085
222.308486,105,86.485596
222.178982,104,86.551185
221.995088,103,86.615671
222.50771,104,86.682037
221.822367,103,86.747038
222.30161,104,86.812546
222.503326,104,86.877052
221.722274,103,87.597266
222.186048,103,87.663115
222.632172,104,87.729114
222.780796,105,87.795624
222.141576,103,87.861131
